budgets,revenues
"
Opening Weekend USA: $10,856,442,
9 July 1995, Wide Release
","
Cumulative Worldwide Gross: $127,600,435
        "
"
Gross USA: $1,606,624, 31 December 1943
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $806, 29 June 2014
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $57,226, 29 November 2015
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $249,567,
15 June 1997, Limited Release
","
Cumulative Worldwide Gross: $252,712,101, 18 August 2012
"
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $36,316,032
        "
"
Gross USA: $526,322, 8 April 2012
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $6,156,049,
20 March 1983, Wide Release
","
Cumulative Worldwide Gross: $50,000,000, 31 December 1983
"
"
Gross USA: $51,700,000, 31 December 1973
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $170,832, 1 October 2000
","
  Show more on
  IMDbPro »
  "
"
Budget:$217,000,000
            (estimated)
","
Gross USA: $130,168,683
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $7,757,130, 15 June 2008
"
"
Runtime:
75 min
","
Color:
Color
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $43,758,684
        "
"
Budget:$7,000,000
            (estimated)
","
Gross USA: $85,182,160, 31 December 1979
"
"
Budget:$30,000,000
            (estimated)
","
Production Co:
 Constantin Film, Dino De Laurentiis Company 
See more »
      
"
"
Opening Weekend USA: $25,728,
23 June 2013, Limited Release
","
Production Co:
 Steel Mill Pictures, Coolmore Productions, Egoli Tossell Film 
See more »
      
"
"
Opening Weekend USA: $1,807,181,
2 May 1999, Wide Release
","
Production Co:
 Columbia Pictures, Licht/Mueller Film Corporation, Team Todd 
See more »
      
"
"
Budget:$10,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $43,247,647
        ","
Production Co:
 Gordon Company, Universal Pictures 
See more »
      
"
"
Opening Weekend USA: $647,112,
14 July 2013, Limited Release
","
Production Co:
 Rakeysh Omprakash Mehra Pictures, Viacom18 Motion Pictures 
See more »
      
"
"
Gross USA: $1,261,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$110,000,000
            (estimated)
","
Gross USA: $125,332,007, 7 June 1998
"
"
Budget:$61,000,000
            (estimated)
","
Gross USA: $81,697,192
        "
"
Budget:$2,000,000
            (estimated)
","
Gross USA: $34,522,221, 22 January 2012
"
"
Production Co:
 Polygram Filmed Entertainment, Propaganda Films 
See more »
      
","
Runtime:
144 min
"
"
Gross USA: $35,739,755
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $35,060,689, 9 February 2012
"
"
Opening Weekend USA: $10,300,
15 June 1997, Limited Release
","
Production Co:
 Danan/Moreno Films, ca.thar.tic filmWorks 
See more »
      
"
"
Budget:$7,000,000
            (estimated)
","
Gross USA: $1,705,595, 27 November 2005
"
"
Opening Weekend USA: $10,177,
8 October 2000, Limited Release
","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Gross USA: $15,318,863
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $340,288,
23 August 1998, Limited Release
","
Production Co:
 Polygram Filmed Entertainment, Propaganda Films, Fleece 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $8,054,280, 30 May 2004
"
"
Runtime:
107 min
|
107 min
            (DVD)
    ","
Aspect Ratio: 2.35 : 1
    "
"
Gross USA: $13,080,000, 31 December 1977
","
Production Co:
 Film Properties International N.V., Paramount Pictures, Universal Pictures 
See more »
      
"
"
Opening Weekend USA: $2,220,497,
11 August 2013, Limited Release
","
Production Co:
 Red Chillies Entertainment, Redchillies.VFX, UTV Motion Pictures 
See more »
      
"
"
Budget:$12,500,000
            (estimated)
","
Gross USA: $48,637,684, 27 April 2014
"
"
Opening Weekend USA: $7,373,
6 July 2008, Limited Release
","
Production Co:
 Whitewater Films 
See more »
      
"
"
Production Co:
 Masada Productions, New Line Cinema 
See more »
      
","
Runtime:
92 min
"
"
Gross USA: $13,275,000
        ","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Opening Weekend USA: $93,005,
13 December 1981, Limited Release
","
Production Co:
 Major Studio Partners, Twentieth Century Fox 
See more »
      
"
"
Gross USA: $26,535,973
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$24,500,000
            (estimated)
","
Gross USA: $15,502,112
        "
"
Opening Weekend USA: $13,106,526,
22 October 2000, Wide Release
","
Cumulative Worldwide Gross: $90,383,208, 31 December 2001
"
"
Opening Weekend USA: $340,456,
4 June 1989, Limited Release
","
Cumulative Worldwide Gross: $140,000,000
        "
"
Opening Weekend USA: $1,900,000,
2 October 1994
","
Production Co:
 Touchstone Pictures 
See more »
      
"
"
Opening Weekend USA: $13,576,
9 May 1999, Limited Release
","
Production Co:
 London Film Productions 
See more »
      
"
"
Gross USA: $7,830,611
        ","
Production Co:
 KTCA Minneapolis, Kartemquin Films 
See more »
      
"
"
Opening Weekend USA: $40,179,
12 May 2013, Limited Release
","
Production Co:
 Sobras International Pictures, Cross Creek Pictures, Dragonfly Entertainment 
See more »
      
"
"
Opening Weekend USA: $5,147,479,
4 October 2010, Wide Release
","
Production Co:
 Overture Films, Exclusive Media Group, Hammer Films 
See more »
      
"
"
Opening Weekend USA: $210,549,
26 July 1996
","
Cumulative Worldwide Gross: $30,900,000
        "
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $21,371,425, 19 December 2010
"
"
Budget:$185,000,000
            (estimated)
","
Gross USA: $534,858,444, 19 July 2012
"
"
Budget:$28,000,000
            (estimated)
","
Gross USA: $50,294,317
        "
"
Gross USA: $7,237,794
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $17,750,
4 March 2001, Limited Release
","
Production Co:
 Columbia Pictures, Columbia TriStar Filmes do Brasil, Conspiração Filmes 
See more »
      
"
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $12,188,642, 10 January 2016
"
"
Budget:$8,500,000
            (estimated)
","
Opening Weekend USA: $83,803,
19 September 2014, Limited Release
"
"
Budget:$60,000
            (estimated)
","
Gross USA: $140,539,099
        "
"
Budget:$180,000
            (estimated)
","
Gross USA: $925,402, 23 May 1999
"
"
Gross USA: $67,052,156
        ","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Opening Weekend USA: $5,891,176,
28 January 2001, Wide Release
","
Production Co:
 New Line Cinema 
See more »
      
"
"
Opening Weekend USA: $1,314,993,
31 March 1985, Wide Release
","
Production Co:
 Rastar Films, Delphi II Productions 
See more »
      
"
"
Color:
Color
",0
"
Opening Weekend USA: $15,164,595,
16 November 1997, Wide Release
","
Cumulative Worldwide Gross: $159,330,280
        "
"
Gross USA: $5,500,000, 31 December 1948
","
Production Co:
 Monterey Productions, Charles K. Feldman Group 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby SR
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $71,440,011
        "
"
Runtime:
98 min
","
Color:
Color
(Eastmancolor)    "
"
Opening Weekend USA: $1,327,
17 April 2015, Limited Release
","
Production Co:
 Day Tripper Films, General Film Corporation 
See more »
      
"
"
Budget:$7,000,000
            (estimated)
","
Gross USA: $24,611,975
        "
"
Opening Weekend USA: $2,297,493,
2 August 1981, Limited Release
","
Production Co:
 Innovisions, ECA, Orion Pictures 
See more »
      
"
"
Budget:$5,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Runtime:
133 min
","
Color:
Color
"
"
Budget:$34,000,000
            (estimated)
","
Gross USA: $107,825,862
        "
"
Gross USA: $5,017,971
        ","
  Show more on
  IMDbPro »
  "
"
Cumulative Worldwide Gross: $43,938,238
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $75,624,550
        "
"
Opening Weekend USA: $22,224,982,
15 April 2007, Wide Release
","
Cumulative Worldwide Gross: $117,760,134, 2 August 2007
"
"
Gross USA: $7,286,388
        ","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
| Dolby Digital
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Stereo
"
"
Production Co:
 BBC Films, Assassin Films 
See more »
      
","
Sound Mix:
Dolby Digital
"
"
Budget:$42,000,000
            (estimated)
","
Gross USA: $37,662,162
        "
"
Production Co:
 Bountiful Film Partners, FilmDallas Pictures 
See more »
      
","
Runtime:
108 min
"
"
Production Co:
 Warner Bros., Armada Productions 
See more »
      
","
Runtime:
141 min
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $15,408,822, 16 February 2003
"
"
Opening Weekend USA: $7,484,696,
19 December 2010, Wide Release
","
Production Co:
 Columbia Pictures, Gracie Films, Road Rebel 
See more »
      
"
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $52,580,895, 31 July 2005
"
"
Opening Weekend USA: $8,100,840,
7 December 1986, Wide Release
","
Cumulative Worldwide Gross: $79,000,000, 31 December 1987
"
"
Budget:$1,000,000
            (estimated)
","
Gross USA: $9,168, 17 October 2014
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $3,626,883, 27 November 2005
"
"
Opening Weekend USA: $16,302,063,
2 February 2003, Wide Release
","
Cumulative Worldwide Gross: $101,191,884, 6 June 2013
"
"
Gross USA: $2,573,342
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$150,000,000
            (estimated)
","
Gross USA: $146,880,162
        "
"
Opening Weekend USA: $81,446,
22 March 2009, Limited Release
","
Production Co:
 Scion Films, Canana Films, Creando Films 
See more »
      
"
"
Budget:$100,000,000
            (estimated)
","
Gross USA: $58,607,007
        "
"
Color:
Color
","
Trivia
    The character of Marilita Loy is obviously inspired by actress Margherita Buy. Rosanna Gentili based her characterization on Buy as well as other actresses, such as Isabella Ferrari and Valeria Bruni Tedeschi.        See more  »
    "
"
Opening Weekend: INR 341,000,000
            (India),
16 September 2012, Wide Release
","
Gross USA: $2,804,874, 28 October 2012
"
"
Gross USA: $76,113,124
        ","
Production Co:
 Twentieth Century Fox, Zanuck/Brown Productions, SLM Production Group 
See more »
      
"
"
Budget:$94,000,000
            (estimated)
","
Gross USA: $32,616,869, 8 July 2001
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $29,121,498
        "
"
Budget:$120,000,000
            (estimated)
","
Gross USA: $56,117,548
        "
"
Gross USA: $35,733,867, 31 December 1975
","
  Show more on
  IMDbPro »
  "
"
Budget:$45,000,000
            (estimated)
","
Gross USA: $90,186,328
        "
"
Opening Weekend USA: $10,524,026,
14 April 1991, Wide Release
","
Production Co:
 Arnold Kopelson Productions, Seagal/Nasso Productions, Warner Bros. 
See more »
      
"
"
Budget:$8,000,000
            (estimated)
","
Gross USA: $10,814,185, 11 October 2009
"
"
Budget:$11,000,000
            (estimated)
","
Gross USA: $1,987,762
        "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Opening Weekend: $1,440,000
            (Argentina),
26 January 2017
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $274,675, 27 February 2000
","
Production Co:
 Raajkamal Films International 
See more »
      
"
"
Production Co:
 Maruti International 
See more »
      
","
Runtime:
137 min
"
"
Opening Weekend: $4,607,170
            (France),
18 April 2010, Wide Release
","
Production Co:
 EuropaCorp, Apipoulaï, TF1 Films Production 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $87,727,583
        "
"
Budget:$63,000,000
            (estimated)
","
Gross USA: $402,453,882
        "
"
Opening Weekend USA: $7,623,662,
3 April 2016, Wide Release
","
Production Co:
 Pure Flix Productions 
See more »
      
"
"
Opening Weekend: £274,516
            (United Kingdom),
27 May 2005, Limited Release
","
Gross USA: $120,620, 10 July 2005
"
"
Budget:$50,000,000
            (estimated)
","
Production Co:
 Hollywood Pictures, Touchwood Pacific Partners 1 
See more »
      
"
"
Opening Weekend USA: $6,062,922,
21 December 1997, Wide Release
","
Cumulative Worldwide Gross: $122,417,389
        "
"
Production Co:
 Frank Yablans Presentations, Paramount Pictures, Regina Associates 
See more »
      
","
Runtime:
119 min
"
"
Production Co:
 First Floor Features, Algemene Vereniging Radio Omroep (AVRO) 
See more »
      
","
Runtime:
111 min
"
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $25,480,490
        "
"
Gross USA: $20,915,465
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $47,119,388
        "
"
Budget:$6,400,000
            (estimated)
","
Gross USA: $38,400,000
        "
"
Budget:$750,000
            (estimated)
","
Production Co:
 TWD Enterprises, Scorpio Pictures 
See more »
      
"
"
Budget:$9,000,000
            (estimated)
","
Gross USA: $11,860,839, 25 September 2011
"
"
Gross USA: $666,045
        ","
  Show more on
  IMDbPro »
  "
"
Budget:€5,000,000
            (estimated)
","
Gross USA: $24,013, 17 April 2016
"
"
Gross USA: $6,933,459
        ","
Production Co:
 Ang Lee Productions, Central Motion Pictures, Good Machine 
See more »
      
"
"
Production Co:
 Chez Wam, StudioCanal, Les Robins des Bois Airlines 
See more »
      
","
Runtime:
94 min
"
"
Gross USA: $16,671,505
        ","
Production Co:
 Twentieth Century Fox, Hughes Entertainment 
See more »
      
"
"
Gross USA: $25,866, 4 September 2011
","
  Show more on
  IMDbPro »
  "
"
Budget:$2,000,000
            (estimated)
","
Production Co:
 Avrora Media, Cobblestone Pictures, Comet Film Produktion GmbH 
See more »
      
"
"
Budget:$14,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Runtime:
109 min
","
Aspect Ratio: 2.35 : 1
    "
"
Opening Weekend USA: $87,442,
23 March 2007, Limited Release
","
Production Co:
 A Fire in the Lake, Old Photo Film 
See more »
      
"
"
Production Co:
 Trimark Pictures, Castleberg Productions, Sandollar Productions 
See more »
      
","
Runtime:
96 min
"
"
Budget:$125,000,000
            (estimated)
","
Gross USA: $113,203,870, 8 November 2012
"
"
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
","
Runtime:
85 min
"
"
Budget:$190,000,000
            (estimated)
","
Gross USA: $353,007,020
        "
"
Gross USA: $119,500,000
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $5,450,000
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $44,908,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $7,657,
20 March 2011, Limited Release
","
Production Co:
 Desert Flower Filmproductions, Majestic Filmproduktion, MTM West Television & Film 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Ultra Stereo
"
"
Budget:$16,000,000
            (estimated)
","
Gross USA: $42,670,410
        "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
Budget:$10,000,000
            (estimated)
","
Production Co:
 Rysher Entertainment 
See more »
      
"
"
Gross USA: $163,591, 17 April 2011
","
  Show more on
  IMDbPro »
  "
"
Budget:$50,000,000
            (estimated)
","
Cumulative Worldwide Gross: $262,797,249
        "
"
Production Co:
 The Genre Co., Benaroya Pictures, 120dB Films 
See more »
      
","
Runtime:
98 min
"
"
Opening Weekend USA: $11,014,818,
21 October 2001, Wide Release
","
Cumulative Worldwide Gross: $74,558,115
        "
"
Budget:$5,000,000
            (estimated)
","
Opening Weekend USA: $7,526,
30 May 2014, Limited Release
"
"
Opening Weekend: SGD 30,000
            (Singapore),
22 May 1998
","
Gross USA: $19,319, 24 October 1999
"
"
Budget:$3,000,000
            (estimated)
","
Gross USA: $133,058
        "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $10,508,518, 7 August 2014
"
"
Opening Weekend USA: $14,652,108,
15 February 1993, Wide Release
","
Production Co:
 Columbia Pictures 
See more »
      
"
"
Budget:$5,000,000
            (estimated)
","
Opening Weekend USA: $215,681,
15 October 2000, Limited Release
"
"
Opening Weekend: £164,950
            (United Kingdom),
22 August 2010, Limited Release
","
Gross USA: $2,231,474
        "
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $1,305,195, 9 June 2017
"
"
Budget:$97,000,000
            (estimated)
","
Gross USA: $226,277,068
        "
"
Gross USA: $9,170,214
        ","
  Show more on
  IMDbPro »
  "
"
Runtime:
105 min
|
105 min
","
Trivia
    Yale Fullback Bobby Levin reminisces about his campus Vietnam War protests with girlfriend Meryl Streep.        See more  »
    "
"
Gross USA: $94,633, 9 May 1999
","
  Show more on
  IMDbPro »
  "
"
Budget:$8,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Budget:$11,000,000
            (estimated)
","
Gross USA: $78,900,000
        "
"
Gross USA: $11,403,529
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,525,360,
12 April 1981, Wide Release
","
Cumulative Worldwide Gross: $19,900,000, 31 December 1981
"
"
Gross USA: $3,827,060
        ","
Production Co:
 Opus Film, Phoenix Film Investments, Canal+ Polska 
See more »
      
"
"
Budget:$7,000,000
            (estimated)
","
Production Co:
 Miramax, Neue Deutsche Filmgesellschaft (NDF), Euro Space 
See more »
      
"
"
Production Co:
 13 Productions, Arte, Fondazione Montecinemaverita 
See more »
      
","
Runtime:
145 min
"
"
Opening Weekend USA: $464,420,
25 March 2011, Limited Release
","
Production Co:
 Fox Searchlight Pictures, Everest Entertainment, Groundswell Productions 
See more »
      
"
"
Opening Weekend: €2,426,335
            (Italy),
24 May 2015, Limited Release
","
Gross USA: $2,698,509, 6 March 2016
"
"
Budget:$55,000,000
            (estimated)
","
Gross USA: $107,100,855
        "
"
Budget:$20,000,000
            (estimated)
","
Cumulative Worldwide Gross: $5,090,852, 14 December 2016
"
"
Opening Weekend USA: $8,310,244,
5 June 1983
","
Production Co:
 Universal Pictures, Oak 
See more »
      
"
"
Budget:€4,000,000
            (estimated)
","
Gross USA: $9,081,782
        "
"
Gross USA: $135,280
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $9,247,881, 7 February 1999
","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $21,835,784, 4 July 2005
"
"
Gross USA: $15,425, 30 September 2007
","
Runtime:
78 min
"
"
Gross USA: $5,014,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $8,064,480,
12 August 1990, Wide Release
","
Production Co:
 Carolco Pictures, IndieProd Company Productions 
See more »
      
"
"
Opening Weekend USA: $7,525,
2 October 2011, Limited Release
","
Production Co:
 Fox Searchlight Pictures, Gilbert Films, Mirage Enterprises 
See more »
      
"
"
Opening Weekend USA: $49,295,
26 October 2008, Limited Release
","
Cumulative Worldwide Gross: $7,282,007, 5 April 2009
"
"
Production Co:
 Zazen Produções 
See more »
      
","
Runtime:
150 min
|
120 min
"
"
Budget:$135,000,000
            (estimated)
","
Gross USA: $63,450,470
        "
"
Gross USA: $2,291,047, 22 September 2013
","
  Show more on
  IMDbPro »
  "
"
Budget:$200,000,000
            (estimated)
","
Gross USA: $150,371,112
        "
"
Gross USA: $14,393,902, 31 December 1985
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $49,770,
9 March 2008, Limited Release
","
Production Co:
 Columbia Pictures Film Production Asia, Beijing Film Studio, China Film Group Corporation (CFGC) 
See more »
      
"
"
Color:
Color
",0
"
Opening Weekend USA: $184,725,
27 December 2000, Limited Release
","
Cumulative Worldwide Gross: $207,515,725
        "
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Digital
"
"
Opening Weekend USA: $5,864,
19 September 2004, Limited Release
","
Production Co:
 Wide Eye Films, Peter Stockhaus Filmproduktion, Grosvenor Park Productions 
See more »
      
"
"
Budget:$115,000,000
            (estimated)
","
Gross USA: $310,675,583, 27 April 2003
"
0,0
"
Budget:$500,000
            (estimated)
","
Gross USA: $220,151, 29 July 2007
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Stereo
"
"
Budget:$4,000,000
            (estimated)
","
Production Co:
 Initial Pictures, U.K. Productions Entity, Zenith Entertainment 
See more »
      
"
"
Budget:$1,500,000
            (estimated)
","
Gross USA: $173,066, 14 December 2008
"
"
Gross USA: $4,750,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $3,296,000,
14 January 1990, Wide Release
","
Production Co:
 Nicolas Entertainment 
See more »
      
"
"
Gross USA: $24,078,196
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 DENTSU Music And Entertainment, Imagica, Nippon Television Network (NTV) 
See more »
      
","
Sound Mix:
Dolby Digital
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $31,874,869, 30 June 2002
"
"
Opening Weekend USA: $173,641,
12 August 2007, Limited Release
","
Production Co:
 Polaris Film Production & Finance, Tempête Sous un Crâne, 3L Filmproduktion 
See more »
      
"
"
Opening Weekend USA: $35,055,556,
1 August 1999, Wide Release
","
Cumulative Worldwide Gross: $309,457,509
        "
0,0
"
Production Co:
 Les Productions Artistes Associés, Produzioni Europee Associate (PEA) 
See more »
      
","
Runtime:
129 min
|
250 min
            (rough cut)
    "
"
Gross USA: $1,200,627
        ","
Production Co:
 CJ Entertainment, CJ E&M Film Financing & Investment Entertainment & Comics, Filmmaker R&K 
See more »
      
"
"
Production Co:
 Kino Korsakoff 
See more »
      
","
Runtime:
96 min
"
"
Opening Weekend USA: $3,012,285,
10 July 1988
","
Production Co:
 Spacegate Productions, Starway International Inc., Universal Pictures 
See more »
      
"
"
Opening Weekend USA: $16,288,361,
14 September 2008, Wide Release
","
Cumulative Worldwide Gross: $78,460,699
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $19,976,073, 20 February 2005
"
"
Production Co:
 Metro-Goldwyn-Mayer (MGM), Columbia Pictures, Eon Productions 
See more »
      
","
Runtime:
106 min
"
"
Production Co:
 Captured Light, Roadside Attractions, Lord of the Wind 
See more »
      
","
Sound Mix:
Dolby Digital
"
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $23,219,748
        "
"
Budget:$15,000,000
            (estimated)
","
Gross USA: $6,373,693, 4 October 2009
"
"
Opening Weekend USA: $3,144,367,
16 December 1983, Wide Release
","
Production Co:
 Paramount Pictures, Milius-Feitshans 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
"
Budget:$9,000,000
            (estimated)
","
Gross USA: $1,069,318
        "
"
Opening Weekend USA: $4,134,098,
10 September 1989, Wide Release
","
Production Co:
 Kings Road Entertainment, The Movie Group 
See more »
      
"
"
Budget:€4,000,000
            (estimated)
","
Opening Weekend USA: $14,937,
20 March 2011, Limited Release
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Stereo
"
"
Budget:$17,000,000
            (estimated)
","
Production Co:
 Warner Bros. 
See more »
      
"
"
Production Co:
 A.V.M. Productions 
See more »
      
","
Runtime:
162 min
"
"
Opening Weekend USA: $3,009,341,
8 January 2006
","
Production Co:
 Twentieth Century Fox, Level 1 Entertainment, Happy Madison Productions 
See more »
      
"
"
Budget:$14,000,000
            (estimated)
","
Gross USA: $21,468,807, 19 November 2000
"
"
Opening Weekend USA: $1,328,789,
27 October 2002, Limited Release
","
Production Co:
 Dimension Films, Loud Films, Rat Entertainment 
See more »
      
"
"
Gross USA: $50,504,655
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$9,000,000
            (estimated)
","
Gross USA: $14,260,193, 16 December 2016
"
"
Budget:$17,500,000
            (estimated)
","
Gross USA: $11,902,715, 28 February 2008
"
"
Budget:$170,000,000
            (estimated)
","
Gross USA: $172,062,763, 14 April 2011
"
"
Runtime:
114 min
|
107 min
            (TV)
    ","
Color:
Color
(Technicolor)    "
"
Budget:$12,000,000
            (estimated)
","
Cumulative Worldwide Gross: HKD 55,000,000, 26 June 2005
"
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $25,240,988, 19 August 2012
"
"
Opening Weekend USA: $566,736,
26 April 1981, Limited Release
","
Production Co:
 Orion Pictures, Warner Bros. 
See more »
      
"
"
Budget:$170,000,000
            (estimated)
","
Gross USA: $259,766,572
        "
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $66,023,816
        "
"
Budget:$3,700,000
            (estimated)
","
Gross USA: $144,397
        "
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $84,216,833
        "
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $38,562,379, 2 October 2016
"
"
Budget:$125,000,000
            (estimated)
","
Gross USA: $80,101,125
        "
"
Production Co:
 Universal Pictures, Nanny Productions 
See more »
      
","
Runtime:
92 min
"
"
Budget:$108,000,000
            (estimated)
","
Gross USA: $228,433,663
        "
"
Gross USA: $100,489,150
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$8,000,000
            (estimated)
","
Production Co:
 Palace Pictures, Miramax 
See more »
      
"
"
Opening Weekend USA: $29,472,894,
16 June 1989
","
Cumulative Worldwide Gross: $215,394,738
        "
"
Budget:$17,000,000
            (estimated)
","
Gross USA: $10,006,806
        "
"
Cumulative Worldwide Gross: $98,774,891
        ","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ",0
"
Budget:$80,000,000
            (estimated)
","
Gross USA: $20,991,364, 1 February 2004
"
"
Opening Weekend USA: $161,190,
7 September 2003, Limited Release
","
Production Co:
 World of Wonder, Killer Films, ContentFilm 
See more »
      
"
"
Budget:$19,800,000
            (estimated)
","
Gross USA: $34,290,142, 28 November 2014
"
"
Gross USA: $52,961, 9 August 2015
","
  Show more on
  IMDbPro »
  "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $150,117,807
        "
"
Budget:$210,000,000
            (estimated)
","
Opening Weekend USA: $122,861,157,
28 May 2006
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
"
Production Co:
 Jennings Lang, Universal Pictures 
See more »
      
","
Runtime:
107 min
"
"
Opening Weekend: JPY 133,929,210
            (Japan),
8 September 2013, Limited Release
","
  Show more on
  IMDbPro »
  "
"
Budget:$12,000,000
            (estimated)
","
Gross USA: $4,750,602
        "
"
Opening Weekend USA: $59,558,
19 January 1998, Limited Release
","
Production Co:
 El Deseo, CiBy 2000, France 3 Cinéma 
See more »
      
"
"
Opening Weekend: €2,258,297
            (France),
16 October 2011, Limited Release
","
Gross USA: $44,671,682
        "
"
Budget:$7,000,000
            (estimated)
","
Gross USA: $532,988, 8 November 2015
"
"
Gross USA: $5,293,000, 31 December 1951
","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Opening Weekend USA: $339,616,
27 July 2008, Limited Release
"
"
Production Co:
 Lyuksor 
See more »
      
","
Runtime:
93 min
"
"
Gross USA: $125,400
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $14,058,106,
6 September 2009, Wide Release
","
Production Co:
 Fox 2000 Pictures, Radar Pictures, Dune Entertainment III 
See more »
      
"
"
Opening Weekend USA: $70,188,
13 April 1997, Limited Release
","
Cumulative Worldwide Gross: $1,250,000, 31 December 1974
"
"
Production Co:
 Atlantic, Harbour Towns, Will Vinton Studios 
See more »
      
","
Runtime:
86 min
"
"
Gross USA: $3,000,000
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $81,159,365
        "
"
Budget:$7,500,000
            (estimated)
","
Gross USA: $31,501,218, 12 March 2006
"
"
Production Co:
 60/80 Productions, Paramount Pictures 
See more »
      
","
Runtime:
108 min
"
"
Production Co:
 Base Industries Group 
See more »
      
","
Runtime:
158 min
"
"
Budget:$105,000,000
            (estimated)
","
Gross USA: $94,784,201, 19 June 2008
"
"
Gross USA: $251,058, 30 December 2001
","
  Show more on
  IMDbPro »
  "
