budgets,revenues
"
Opening Weekend USA: $12,037,685,
2 June 2002, Wide Release
","
Production Co:
 Universal Pictures, Imagine Entertainment, Urban Media 
See more »
      
"
"
Production Co:
 China Film Co., Emperor Film Production, Huayi Brothers Media 
See more »
      
","
Runtime:
145 min
"
"
Opening Weekend USA: $39,699,023,
4 March 2007, Limited Release
","
Cumulative Worldwide Gross: $253,625,427
        "
"
Opening Weekend USA: $787,724,
6 September 1993, Limited Release
","
Production Co:
 Mainline Pictures 
See more »
      
"
"
Gross USA: $12,674,183, 7 June 1998
","
  Show more on
  IMDbPro »
  "
"
Budget:$90,000,000
            (estimated)
","
Gross USA: $226,164,286
        "
"
Budget:$130,000,000
            (estimated)
","
Gross USA: $171,091,819
        "
"
Opening Weekend USA: $2,239,830,
11 February 1990, Wide Release
","
Production Co:
 TriStar Pictures 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $55,973,336
        "
"
Budget:$7,500,000
            (estimated)
","
Gross USA: $32,391,374, 22 November 2009
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $1,027,749, 12 October 2008
"
"
Production Co:
 Metro-Goldwyn-Mayer (MGM), Plotto Productions 
See more »
      
","
Runtime:
105 min
|
108 min
            (video)
    "
"
Opening Weekend USA: $11,827,
25 December 2000, Limited Release
","
Cumulative Worldwide Gross: $44,567,606
        "
"
Budget:$18,000,000
            (estimated)
","
Gross USA: $29,511,112, 20 November 2005
"
"
Opening Weekend USA: $2,837,711,
20 October 1996, Wide Release
","
Production Co:
 Columbia Pictures, 15 Black Men, 40 Acres & A Mule Filmworks 
See more »
      
"
"
Opening Weekend: $3,372,132
            (United Kingdom),
9 August 2013, Limited Release
","
Gross USA: $152,211, 16 May 2014
"
"
Budget:$6,000,000
            (estimated)
","
Gross USA: $4,106, 2 September 2012
"
"
Production Co:
 Discovery Channel Pictures, FilmFour, Morgan Stanley Dean Witter 
See more »
      
","
Runtime:
97 min
|
90 min
            (TV premiere)
    "
"
Budget:$65,000,000
            (estimated)
","
Gross USA: $100,539,043, 27 January 2011
"
"
Opening Weekend: £2,010,250
            (United Kingdom),
9 September 2007, Limited Release
","
Gross USA: $5,998,971, 18 May 2008
"
"
Budget:AUD 2,200,000
            (estimated)
","
Opening Weekend USA: $14,076,
3 June 2007, Limited Release
"
"
Gross USA: $119,782, 10 June 2012
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,129,483,
1 May 1994, Limited Release
","
Production Co:
 Twentieth Century Fox 
See more »
      
"
"
Gross USA: $243,390, 22 November 2013
","
  Show more on
  IMDbPro »
  "
"
Budget:$110,000,000
            (estimated)
","
Gross USA: $214,949,694
        "
"
Gross USA: $4,000,000
        ","
Production Co:
 Robert Wise Productions, Twentieth Century Fox 
See more »
      
"
"
Budget:$12,000,000
            (estimated)
","
Opening Weekend USA: $89,472,
14 December 2003, Limited Release
"
"
Opening Weekend USA: $386,328,
20 March 2016, Wide Release
","
Production Co:
 Duplass Brothers Productions 
See more »
      
"
"
Budget:$18,000,000
            (estimated)
","
Gross USA: $300,000, 26 April 2009
"
"
Gross USA: $17,550,741
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Parts and Labor, FullDawa Films, Killer Films 
See more »
      
","
Runtime:
88 min
"
"
Gross USA: $4,239,831
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$39,200,000
            (estimated)
","
Opening Weekend USA: $171,187,
29 June 2014, Limited Release
"
"
Gross USA: $57,114,049
        ","
Production Co:
 Universal Pictures, Northern Lights Entertainment 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $18,636,482
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $16,905, 5 June 2016
","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Working Title Films 
See more »
      
","
Runtime:
92 min
"
"
Budget:$4,000,000
            (estimated)
","
Gross USA: $35,385,560, 8 March 2015
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby Stereo
(4 channels)    "
"
Gross USA: $48,430,258
        ","
Production Co:
 Disney Television Animation, Disneytoon Studios, Walt Disney Animation Australia 
See more »
      
"
"
Budget:$3,500,000
            (estimated)
","
Production Co:
 Central Partnership, Shaman Pictures 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
"
"
Budget:$63,600,000
            (estimated)
","
Gross USA: $14,967,182, 10 December 2000
"
"
Opening Weekend USA: $6,515,861,
12 February 1995, Wide Release
","
Production Co:
 TriStar Pictures, Japan Satellite Broadcasting (JBS), IndieProd Company Productions 
See more »
      
"
"
Opening Weekend USA: $28,091,
17 February 2006, Limited Release
","
Production Co:
 Stratus Film Co., Mint Pictures 
See more »
      
"
"
Production Co:
 Jascat, Universal Pictures 
See more »
      
","
Runtime:
97 min
|
87 min
            (Cinemax)
    "
"
Budget:$125,000
            (estimated)
","
Gross USA: $1,573,712, 19 August 2012
"
"
Opening Weekend USA: $43,666,
13 December 1998, Limited Release
","
Production Co:
 American Empirical Pictures, Touchstone Pictures 
See more »
      
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $25,117,498, 3 June 2007
"
